id;nome;categoria_regulatoria;data_vencimento_registro;classe_terapeutica;mari;situacao_registro;principio_ativo;estoque;preco
1; ALENDRONATO SODICO;SIMILAR;2006-05-01;SUPRESSORES DA REABSORCAO OSSEA;S;CANCELADO;CADUCOU;29;490
2; ARNICA MONTANA;FITOTERÁPICO;2007-03-01;FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;29;27
3; ARNICA MONTANA L.;FITOTERÁPICO;2007-06-01;FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;26;63
4; CETOCONAZOL;SIMILAR;2007-10-01;ANTIMICOTICO;S;CANCELADO;CADUCOU;3;278
5; CLORETO DE SODIO;SIMILAR;2007-04-01;REIDRATANTES PARENTERAIS;S;CANCELADO;CADUCOU;3;412
6; CLORIDRATO DE DOBUTAMINA ;SIMILAR;2012-01-01;DILUENTES E VEICULOS DE MEDICAMENTOS + OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR;S;CANCELADO;CADUCOU;5;299
7; DIPIRONA;SIMILAR;2006-05-01;ANALGESICOS;S;CANCELADO;CADUCOU;11;78
8; EUCALYPTUS GLOBULUS  LABILL.;FITOTERÁPICO;2007-08-01;FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;13;51
9; GINKGO BILOBA;FITOTERÁPICO;2006-08-01;FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;0;366
10; HYPERICUM PERFORATUM;FITOTERÁPICO;2006-09-01;FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;13;316
11; HYPERICUM PERFORATUM L;FITOTERÁPICO;2006-06-01;FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;2;114
12; IMUNOCIANINA;NOVO;2006-09-01;IMUNOMODULADOR;S;CANCELADO;CADUCOU;0;494
13; IODETO DE POTASSIO;SIMILAR;2006-11-01;EXPECTORANTES;S;CANCELADO;CADUCOU;10;8
14; KAVA KAVA;FITOTERÁPICO;2006-08-01;FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;8;301
